Results for n=1000
0 : 0
1 : 3
2 : 3
3 : 6
4 : 7
5 : 7
6 : 8
7 : 8
8 : 9
9 : 9
10 : 10
11 : 10
12 : 11
13 : 12
14 : 12
15 : 16
16 : 16
17 : 17
18 : 19
19 : 21
20 : 22
21 : 23
22 : 26
23 : 30
24 : 30
25 : 30
26 : 31
27 : 31
28 : 33
29 : 33
30 : 36
31 : 36
32 : 38
33 : 38
34 : 39
35 : 39
36 : 42
37 : 44
38 : 46
39 : 46
40 : 49
41 : 51
42 : 52
43 : 52
44 : 53
45 : 54
46 : 56
47 : 61
48 : 61
49 : 63
950 : 946
951 : 947
952 : 948
953 : 948
954 : 949
955 : 951
956 : 952
957 : 954
958 : 955
959 : 955
960 : 958
961 : 958
962 : 961
963 : 962
964 : 962
965 : 963
966 : 964
967 : 964
968 : 965
969 : 967
970 : 969
971 : 970
972 : 971
973 : 971
974 : 972
975 : 973
976 : 974
977 : 975
978 : 975
979 : 978
980 : 978
981 : 980
982 : 982
983 : 985
984 : 986
985 : 987
986 : 987
987 : 988
988 : 988
989 : 988
990 : 990
991 : 990
992 : 993
993 : 993
994 : 995
995 : 998
996 : 999
997 : 999
998 : 999
999 : 999
