Results for n=1000000
0 : 1
1 : 2
2 : 4
3 : 4
4 : 5
5 : 5
6 : 6
7 : 8
8 : 10
9 : 10
10 : 11
11 : 13
12 : 13
13 : 13
14 : 15
15 : 16
16 : 16
17 : 16
18 : 17
19 : 19
20 : 20
21 : 20
22 : 22
23 : 23
24 : 23
25 : 24
26 : 24
27 : 26
28 : 26
29 : 29
30 : 30
31 : 30
32 : 32
33 : 33
34 : 33
35 : 35
36 : 36
37 : 36
38 : 37
39 : 37
40 : 37
41 : 38
42 : 38
43 : 40
44 : 40
45 : 41
46 : 43
47 : 44
48 : 45
49 : 46
999950 : 999961
999951 : 999962
999952 : 999963
999953 : 999963
999954 : 999963
999955 : 999964
999956 : 999964
999957 : 999967
999958 : 999968
999959 : 999968
999960 : 999969
999961 : 999970
999962 : 999970
999963 : 999971
999964 : 999971
999965 : 999972
999966 : 999976
999967 : 999976
999968 : 999976
999969 : 999977
999970 : 999979
999971 : 999983
999972 : 999984
999973 : 999985
999974 : 999985
999975 : 999985
999976 : 999986
999977 : 999986
999978 : 999986
999979 : 999987
999980 : 999990
999981 : 999990
999982 : 999991
999983 : 999991
999984 : 999991
999985 : 999992
999986 : 999992
999987 : 999993
999988 : 999993
999989 : 999994
999990 : 999994
999991 : 999994
999992 : 999995
999993 : 999995
999994 : 999995
999995 : 999996
999996 : 999996
999997 : 999997
999998 : 999998
999999 : 999999
