Results for n=100000000
0 : 0
1 : 3
2 : 4
3 : 5
4 : 7
5 : 8
6 : 8
7 : 9
8 : 9
9 : 10
10 : 11
11 : 11
12 : 12
13 : 13
14 : 14
15 : 14
16 : 15
17 : 16
18 : 16
19 : 16
20 : 18
21 : 20
22 : 20
23 : 20
24 : 21
25 : 22
26 : 24
27 : 24
28 : 24
29 : 24
30 : 28
31 : 30
32 : 31
33 : 31
34 : 31
35 : 32
36 : 33
37 : 34
38 : 35
39 : 36
40 : 38
41 : 38
42 : 38
43 : 39
44 : 40
45 : 43
46 : 44
47 : 45
48 : 45
49 : 45
99999950 : 99999955
99999951 : 99999956
99999952 : 99999957
99999953 : 99999958
99999954 : 99999958
99999955 : 99999958
99999956 : 99999959
99999957 : 99999959
99999958 : 99999959
99999959 : 99999959
99999960 : 99999959
99999961 : 99999962
99999962 : 99999962
99999963 : 99999966
99999964 : 99999968
99999965 : 99999969
99999966 : 99999970
99999967 : 99999971
99999968 : 99999971
99999969 : 99999971
99999970 : 99999972
99999971 : 99999972
99999972 : 99999973
99999973 : 99999974
99999974 : 99999975
99999975 : 99999975
99999976 : 99999976
99999977 : 99999977
99999978 : 99999977
99999979 : 99999978
99999980 : 99999979
99999981 : 99999980
99999982 : 99999981
99999983 : 99999981
99999984 : 99999982
99999985 : 99999983
99999986 : 99999984
99999987 : 99999986
99999988 : 99999987
99999989 : 99999988
99999990 : 99999990
99999991 : 99999991
99999992 : 99999992
99999993 : 99999993
99999994 : 99999993
99999995 : 99999993
99999996 : 99999997
99999997 : 99999998
99999998 : 99999998
99999999 : 99999999
