Results for n=10000000
0 : 2
1 : 3
2 : 4
3 : 4
4 : 4
5 : 7
6 : 8
7 : 8
8 : 9
9 : 9
10 : 10
11 : 11
12 : 11
13 : 12
14 : 12
15 : 12
16 : 13
17 : 15
18 : 16
19 : 16
20 : 18
21 : 18
22 : 19
23 : 19
24 : 20
25 : 20
26 : 21
27 : 21
28 : 23
29 : 23
30 : 25
31 : 27
32 : 27
33 : 28
34 : 30
35 : 32
36 : 34
37 : 34
38 : 35
39 : 35
40 : 36
41 : 37
42 : 38
43 : 38
44 : 39
45 : 41
46 : 41
47 : 42
48 : 44
49 : 44
9999950 : 9999943
9999951 : 9999943
9999952 : 9999943
9999953 : 9999944
9999954 : 9999945
9999955 : 9999948
9999956 : 9999948
9999957 : 9999948
9999958 : 9999951
9999959 : 9999951
9999960 : 9999953
9999961 : 9999954
9999962 : 9999956
9999963 : 9999962
9999964 : 9999962
9999965 : 9999963
9999966 : 9999963
9999967 : 9999964
9999968 : 9999964
9999969 : 9999964
9999970 : 9999965
9999971 : 9999969
9999972 : 9999969
9999973 : 9999970
9999974 : 9999971
9999975 : 9999972
9999976 : 9999973
9999977 : 9999973
9999978 : 9999974
9999979 : 9999975
9999980 : 9999976
9999981 : 9999976
9999982 : 9999977
9999983 : 9999978
9999984 : 9999978
9999985 : 9999980
9999986 : 9999981
9999987 : 9999981
9999988 : 9999981
9999989 : 9999982
9999990 : 9999982
9999991 : 9999983
9999992 : 9999984
9999993 : 9999987
9999994 : 9999988
9999995 : 9999989
9999996 : 9999991
9999997 : 9999997
9999998 : 9999998
9999999 : 9999999
