Results for n=100000
0 : 0
1 : 0
2 : 2
3 : 3
4 : 4
5 : 4
6 : 6
7 : 7
8 : 8
9 : 9
10 : 10
11 : 11
12 : 11
13 : 11
14 : 12
15 : 13
16 : 15
17 : 15
18 : 17
19 : 17
20 : 17
21 : 21
22 : 22
23 : 22
24 : 23
25 : 23
26 : 24
27 : 24
28 : 24
29 : 25
30 : 26
31 : 26
32 : 27
33 : 29
34 : 30
35 : 32
36 : 32
37 : 34
38 : 35
39 : 37
40 : 38
41 : 40
42 : 41
43 : 41
44 : 42
45 : 43
46 : 44
47 : 44
48 : 44
49 : 45
99950 : 99948
99951 : 99948
99952 : 99949
99953 : 99950
99954 : 99950
99955 : 99950
99956 : 99951
99957 : 99952
99958 : 99952
99959 : 99955
99960 : 99958
99961 : 99958
99962 : 99959
99963 : 99960
99964 : 99961
99965 : 99963
99966 : 99964
99967 : 99967
99968 : 99967
99969 : 99968
99970 : 99968
99971 : 99968
99972 : 99969
99973 : 99969
99974 : 99970
99975 : 99971
99976 : 99974
99977 : 99975
99978 : 99976
99979 : 99977
99980 : 99977
99981 : 99980
99982 : 99980
99983 : 99985
99984 : 99985
99985 : 99986
99986 : 99987
99987 : 99988
99988 : 99988
99989 : 99989
99990 : 99990
99991 : 99991
99992 : 99991
99993 : 99993
99994 : 99993
99995 : 99995
99996 : 99995
99997 : 99996
99998 : 99998
99999 : 99998
